exchange,market,best bid (USD),bid depth (BAT), best ask (USD),ask depth (BAT), market price (USD),total depth (BAT)
bitfinex,BAT/USD,0.33715,322.66696515,0.34246,10413.0,0.34230040473773,10735.66696515
bitfinex2,BAT/USD,0.33719,322.66696515,0.34246,10413,0.34230160696192785,10735.66696515
bittrex,BAT/USD,0.33572,10337.0,0.34057,3332.0,0.33690225181066646,13669.0
ethfinex,BAT/USD,0.33701,322.66696515,0.34246,10413.0,0.34229619695303737,10735.66696515
independentreserve,BAT/USD,0.33531,4114.005,0.40818,2116.46377,0.3600636293998469,6230.4687699999995
livecoin,BAT/USD,0.30664,32.61153144,0.34763,18.64011,0.3215479734313384,51.25164144
okcoinusd,BAT/USD,0.3379,1354.3178,0.3396,985.5695,0.3386160465164284,2339.8873
southxchange,BAT/USD,0.33,16.68151515,0.46,49.44160673,0.42720365119124953,66.12312188
yobit,BAT/USD,0.32330207,0.31240134,0.35918527,27.65386787,0.3587844314155141,27.96626921
