exchange,market,best bid (USD),bid depth (BCH), best ask (USD),ask depth (BCH), market price (USD),total depth (BCH)
bitbay,BCH/USD,389.33,0.07900096,439.97,0.88763289,435.83129886264584,0.96663385
bitfinex,BCH/USD,390.31,2.0,390.58,2.71713801,390.4655238072629,4.71713801
bitfinex2,BCH/USD,390.31,2,390.58,2.71713801,390.4655238072629,4.71713801
bitsane,BCH/USD,382.93,0.42,397.696,0.0448948,384.35594973486474,0.4648948
bitstamp,BCH/USD,389.02,1.0,390.59,0.07908964,389.1350698979929,1.07908964
bittrex,BCH/USD,388.653,21.066,391.765,14.023,389.896682521588,35.089
cex,BCH/USD,387.86,20.44868696,390.0,0.5,387.91107718693985,20.94868696
coinbaseprime,BCH/USD,390.27,20.35,390.28,7.61e-06,390.2700000037395,20.350007610000002
coinbasepro,BCH/USD,390.29,18.39,390.63,5.03,390.363023057216,23.42
dsx,BCH/USD,370.02421,0.5253,390.55272,0.1004,373.31822055457883,0.6257
exmo,BCH/USD,390.38119283,0.04515041,393.11864335,0.04503861,391.7482213925076,0.09018902000000001
gdax,BCH/USD,390.87,22.3,391.48,3.61031761,390.95499678681085,25.91031761
gemini,BCH/USD,390.37,4.284469,392.02,10.0,391.52510069012715,14.284469
independentreserve,BCH/USD,386.38,0.1761,396.11,8.1926,395.9052545795643,8.3687
kraken,BCH/USD,391.2,4.02,391.4,12.0,391.3498127340824,16.02
liquid,BCH/USD,389.4,93.4287,393.1,0.8369,389.4328489926335,94.2656
livecoin,BCH/USD,386.82379,0.08594567,395.60055,0.24173578,393.29854444359995,0.32768145000000004
lykke,BCH/USD,389.278,25.0,392.745,25.0,391.0115,50.0
okcoinusd,BCH/USD,390.29,5.7248,391.91,21.6456,391.57116037763427,27.370400000000004
okex,BCH/USD,391.41,191.0,391.42,162.0,391.4145892351275,353.0
qryptos,BCH/USD,389.4,93.4287,393.1,0.8369,389.4328489926335,94.2656
quoinex,BCH/USD,389.4,93.4287,393.1,0.8369,389.4328489926335,94.2656
rightbtc,BCH/USD,389.887,2.537,389.888,2.537,389.8875,5.074
southxchange,BCH/USD,386.8293,0.01014901,401.4252,0.85309583,401.25359870197315,0.86324484
