exchange,market,best bid (USD),bid depth (BTC), best ask (USD),ask depth (BTC), market price (USD),total depth (BTC)
anxpro,BTC/USD,5712.9308,0.4,6329.63472,1.795464,6217.275069374893,2.195464
bitbay,BTC/USD,7777.3,2.0,7809.81,2.0,7793.555,4.0
bitfinex,BTC/USD,7785.2,0.00719398,7785.3,0.45966933,7785.298459082168,0.46686331
bitfinex2,BTC/USD,7785.256646692,0.00719398,7785.3,0.47315999999999997,7785.299350722918,0.48035397999999996
bitflyer,BTC/USD,7779.0,0.005,7797.4,0.12,7796.663999999999,0.125
bitlish,BTC/USD,7731.0,0.0068,7749.11,0.0003,7731.765211267606,0.0070999999999999995
bitmex,BTC/USD,7789,525172,7789.5,1219114,7789.349459320318,1744286
bitsane,BTC/USD,7701.85,0.17428338,7893.45,0.00285264,7704.935571325358,0.17713601999999998
bitstamp,BTC/USD,7787.17,0.14020742,7794.99,1.0,7794.028401254746,1.14020742
bitstamp1,BTC/USD,7787.18,0.03196644,7794.99,1.0,7794.748075566488,1.03196644
bittrex,BTC/USD,7786.207,0.04141796,7795.556,0.08532748,7792.500927501613,0.12674544
btcalpha,BTC/USD,7680.0,0.056111,7723.19,0.099517,7707.6180329375175,0.155628
ccex,USD/BTC,0.00012461,88665.04678597224,0.00012461,107.54955461038442,0.00012461000000000001,88772.59634058262
ccex,BTC/USD,8025.0,1.67e-06,8025.000001,0.00137676,8025.000000998789,0.0013784300000000001
cex,BTC/USD,7834.6,2.11395,7846.6,0.28565,7836.028488081349,2.3996
coinbaseprime,BTC/USD,7773.47,0.06062308,7777.3,0.2,7776.409110381168,0.26062308
coinbasepro,BTC/USD,7773.52,0.07,7776.75,0.23,7775.996333333333,0.30000000000000004
coinfloor,BTC/USD,2600.0,0.3069,9210.0,7.2158,8940.334986108712,7.5226999999999995
crex24,BTC/USD,7672.0,0.00032847,7682.0,0.00096448,7679.459530530956,0.00129295
dsx,BTC/USD,7737.0704,0.5,7752.55576,0.28514,7742.694232119622,0.78514
exmo,BTC/USD,7780.0,0.63498043,7800.0,0.06426364,7781.8380889522605,0.69924407
gdax,BTC/USD,7788.17,0.108031,7788.18,0.26861531,7788.177131765343,0.37664631
gemini,BTC/USD,7783.05,1.0,7786.87,0.01760766,7783.116097439952,1.01760766
independentreserve,BTC/USD,7712.35,0.08,7826.16,0.2381,7797.53755422823,0.3181
itbit,BTC/USD,7788.0,1.0,7794.5,0.29611839,7789.485026020656,1.29611839
kraken,BTC/USD,7790.1,1.922,7796.1,1.0,7792.15338809035,2.9219999999999997
lakebtc,BTC/USD,8233.59,0.0037,8236.52,0.0023,8234.713166666668,0.006
liquid,BTC/USD,7798.524,0.1,7799.2259,0.088664,7798.853862939407,0.188664
livecoin,BTC/USD,7800.02021,0.0014941,7869.98,0.09075163,7868.846864382351,0.09224573
lykke,BTC/USD,7769.003,0.0646,7821.751,0.099919,7801.038980111719,0.164519
okcoinusd,BTC/USD,7783.15,0.3,7783.75,0.001,7783.151993355481,0.301
okex,BTC/USD,7793.43,10.0,7796.14,29.0,7795.445128205128,39.0
qryptos,BTC/USD,7791.32263,0.004038,7795.64222,0.005,7793.712312451869,0.009038000000000001
quoinex,BTC/USD,7790.33085,0.1051,7793.57442,0.004161,7790.454375272238,0.109261
rightbtc,BTC/USD,7760.5,0.0423,7767.06,0.0211,7762.683217665615,0.0634
southxchange,BTC/USD,7751.112,0.00206733,7898.9971,0.00038338,7774.24659758111,0.00245071
yobit,BTC/USD,7849.50207284,0.099441,7872.05794794,0.9,7869.813714637765,0.999441
