exchange,market,best bid (USD),bid depth (DASH), best ask (USD),ask depth (DASH), market price (USD),total depth (DASH)
bitbay,DASH/USD,148.28,1.34879957,180.89,0.96610846,161.88952421103312,2.31490803
bitfinex,DASH/USD,150.92,4.72603606,151.03,5.04,150.97676817048327,9.766036060000001
bitfinex2,DASH/USD,150.92,4.72603606,151.03,5,150.9765492454076,9.72603606
bitsane,DASH/USD,148.809,0.78587755,153.703,3.6660522,152.83908593448717,4.451929750000001
cex,DASH/USD,152.86,0.13122589,156.99,11.0,156.94131147898213,11.13122589
exmo,DASH/USD,150.57513893,0.25519842,151.62658338,0.05316336,150.75641405370487,0.30836178
kraken,DASH/USD,150.501,20.071,151.593,53.487,151.29503741265395,73.558
liquid,DASH/USD,135.01,1.033704,249.52,0.37218971,165.32484058072927,1.40589371
livecoin,DASH/USD,151.66223,0.13061,156.98787,0.01903,152.33950164661854,0.14964
lykke,DASH/USD,155.01,0.003,199.99,0.039,196.77714285714285,0.042
qryptos,DASH/USD,135.01,1.033704,249.52,0.37218971,165.32484058072927,1.40589371
quoinex,DASH/USD,135.01,1.033704,249.52,0.37218971,165.32484058072927,1.40589371
southxchange,DASH/USD,152.4205,0.6568017,157.7699,0.8,155.358113266102,1.4568017000000002
yobit,DASH/USD,153.0,0.00091137,154.19707344,0.00998346,154.0969363271664,0.01089483
