exchange,market,best bid (USD),bid depth (ETC), best ask (USD),ask depth (ETC), market price (USD),total depth (ETC)
bitfinex,ETC/USD,6.9154,50.0,6.9233,66.25582613,6.919902320819962,116.25582613
bitfinex2,ETC/USD,6.9154,101.07297531999998,6.9233,66.25582613,6.918528098820355,167.32880145
bittrex,ETC/USD,6.914,8.4967422,6.955,85.58521433,6.951297202534379,94.08195653
coinbaseprime,ETC/USD,6.93,82.48563789,6.935,14.66281749,6.930754660351142,97.14845538
coinbasepro,ETC/USD,6.93,82.48563789,6.935,14.66281749,6.930754660351142,97.14845538
exmo,ETC/USD,6.90282764,12.94639602,6.94996521,34.427718,6.937083456720502,47.37411402
gdax,ETC/USD,6.93,61.55093202,6.936,14.66281749,6.93115434426866,76.21374951
kraken,ETC/USD,7.002,331.565,7.024,430.341,7.014426076182626,761.906
lykke,ETC/USD,6.10001,0.762,7.39898,0.0005,6.1008617836065575,0.7625
okcoinusd,ETC/USD,6.934,67.1464,6.95,369.0748,6.947537161421774,436.22119999999995
okex,ETC/USD,6.945,19.0,6.954,3.0,6.946227272727273,22.0
southxchange,ETC/USD,6.9037,39.2321,7.0532,44.7692,6.98337728356585,84.0013
yobit,ETC/USD,6.92332865,0.53198827,6.96764549,0.20893432,6.935825648950928,0.74092259
