exchange,market,best bid (USD),bid depth (LTC), best ask (USD),ask depth (LTC), market price (USD),total depth (LTC)
cex,LTC/USD,88.5,1.13287403,89.23,70.0,89.21837389810018,71.13287403
coinbaseprime,LTC/USD,88.12,5.36720359,88.15,4.5,88.13368168790365,9.867203589999999
coinbasepro,LTC/USD,88.12,5.36720359,88.15,4.5,88.13368168790365,9.867203589999999
dsx,LTC/USD,87.234058,1.412,87.895569,4.559,87.73913732490368,5.971
exmo,LTC/USD,87.92099067,2.525732,88.31519614,0.00606742,87.92193537759962,2.53179942
gdax,LTC/USD,88.1,5e-05,88.11,71.71271796,88.10999999302774,71.71276796000001
gemini,LTC/USD,88.16,0.5671,88.2,10.376,88.19792709561277,10.9431
independentreserve,LTC/USD,87.27,2.9,89.88,1.1399,88.00643877323697,4.039899999999999
livecoin,LTC/USD,87.47619,0.63821771,89.67515,6.344,89.47415151014032,6.9822177100000005
lykke,LTC/USD,87.472792,50.0,88.245946,50.0,87.859369,100.0
okcoinusd,LTC/USD,87.99,0.191,88.0,6.4632,87.99971296324127,6.6541999999999994
okex,LTC/USD,88.166,4.0,88.173,20.0,88.17183333333332,24.0
southxchange,LTC/USD,88.0031,2.88,92.5637,1.8562,89.79047927452386,4.7362
yobit,LTC/USD,88.3,1.37890378,88.69999999,0.266014,88.36468748689667,1.6449177799999999
