exchange,market,best bid (USD),bid depth (USDT), best ask (USD),ask depth (USDT), market price (USD),total depth (USDT)
bitlish,USDT/USD,0.99,99972.75,1.015,10000.0,0.9922732904287652,109972.75
bittrex,USDT/USD,1.001,2897.55024184,1.0025,4809.75400243,1.0019360770997212,7707.30424427
btcalpha,USD/USDT,0.997,0.1057706820461384,1.001,0.0009990009990009992,0.9970374263918562,0.1067696830451394
crex24,USDT/USD,0.983,55.0,1.005,12.0,0.9869402985074627,67.0
dsx,USDT/USD,0.99532,67.0,1.027,200.0,1.0190503370786517,267.0
exmo,USDT/USD,0.99880846,10.1766191,1.00549424,13.24333592,1.0025890834192852,23.41995502
kraken,USDT/USD,1.0031,195.43,1.0035,58385.94,1.0034986655825906,58581.37
okcoinusd,USDT/USD,1.0011,105.68230701481691,1.0015,12.53,1.0011423982927545,118.21230701481691
southxchange,USDT/USD,0.0012,4795.499999,3.33,0.486632,0.001537761700820721,4795.986631
