exchange,market,best bid (USD),bid depth (XLM), best ask (USD),ask depth (XLM), market price (USD),total depth (XLM)
bitfinex,XLM/USD,0.12288,2843.302,0.12379,4216.04221913,0.12342347802009876,7059.34421913
bitfinex2,XLM/USD,0.12288,2843.302,0.12379,4216.04221913,0.12342347802009876,7059.34421913
cex,XLM/USD,0.1255,385.0,0.1266,6000.0,0.12653367267032106,6385.0
coinbaseprime,XLM/USD,0.123118,4962.0,0.123487,12000.0,0.12337905412097631,16962.0
coinbasepro,XLM/USD,0.123264,1315.0,0.123483,12000.0,0.12346137138565527,13315.0
exmo,XLM/USD,0.12264609,1109.4436,0.12350525,143.12149845,0.12274425996079523,1252.56509845
gdax,XLM/USD,0.123174,12080.0,0.123399,12084.0,0.12328651862274456,24164.0
independentreserve,XLM/USD,0.12013,9894.7427,0.12682,3252.0,0.12178484945559936,13146.7427
kraken,XLM/USD,0.123107,1488.737,0.123303,2000.0,0.12321936157956304,3488.737
lykke,XLM/USD,0.11000001,5.0,0.1299999,5.0,0.119999955,10.0
okcoinusd,XLM/USD,0.1231,4760.804,0.1232,16686.468,0.12317780228646329,21447.272
