exchange,market,best bid (USD),bid depth (XRP), best ask (USD),ask depth (XRP), market price (USD),total depth (XRP)
bitbay,XRP/USD,0.37,2271.5735868,0.4,440.6446557,0.37487399555974343,2712.2182425
bitfinex,XRP/USD,0.37497,421.1287232,0.37499,2400.0,0.3749870144664457,2821.1287232
bitfinex2,XRP/USD,0.37497,421.1287232,0.37499,2400,0.3749870144664457,2821.1287232
bitsane,XRP/USD,0.360446,14.0558,0.387485,6.8994,0.36934846223371764,20.955199999999998
bitstamp,XRP/USD,0.37501,328.79155059,0.37603,1315.7093,0.3758260673711531,1644.50085059
bittrex,XRP/USD,0.375,753.52919702,0.376,27072.66816543,0.3759729201519271,27826.197362450002
btcalpha,XRP/USD,0.3635,1107.94270905,0.3945,7.89837481,0.36371943054674327,1115.84108386
cex,XRP/USD,0.3803,110.0,0.3832,1464.30781,0.382997371265026,1574.30781
coinbaseprime,XRP/USD,0.3751,690.0,0.3753,1176.0,0.3752260450160772,1866.0
coinbasepro,XRP/USD,0.3751,690.0,0.3757,14862.0,0.3756733796296296,15552.0
exmo,XRP/USD,0.37540008,4.3668853,0.37629812,649.0324,0.3762921180992281,653.3992853000001
gdax,XRP/USD,0.375,6447.0,0.3753,25306.0,0.3752390892199162,31753.0
independentreserve,XRP/USD,0.37267,500.0,0.38355,3179.8465,0.38207167746670956,3679.8465
kraken,XRP/USD,0.37409,743.804,0.3745,35618.499,0.3744916133023808,36362.303
liquid,XRP/USD,0.37448,3000.0,0.3751,29284.3471,0.37504238694082187,32284.3471
livecoin,XRP/USD,0.381,161.48817583,0.3838,67.95840888,0.3818293152199433,229.44658470999997
lykke,XRP/USD,0.37252,10000.0,0.37574,4000.0,0.37344,14000.0
okcoinusd,XRP/USD,0.3743,4.572,0.3744,7407.734,0.3743999383187904,7412.3060000000005
okex,XRP/USD,0.3739,20.0,0.3742,331.0,0.374182905982906,351.0
qryptos,XRP/USD,0.37448,2871.0,0.3749,21800.0,0.3748511239917312,24671.0
quoinex,XRP/USD,0.37448,2871.0,0.37489,4300.0,0.3747258513456979,7171.0
rightbtc,XRP/USD,0.3727,357.354,0.3768,1.261,0.37271441685372886,358.615
yobit,XRP/USD,0.37801373,6.53435991,0.38857423,4.35823935,0.38223909307056564,10.89259926
