currency,ticker,marketcap ($)
Bitcoin,BTC,138384634154.1864
Ethereum,ETH,25820846693.295605
XRP,XRP,15874482789.590437
Bitcoin Cash,BCH,7044387332.359419
Litecoin,LTC,5448740562.841563
EOS,EOS,5411332710.507559
Binance Coin,BNB,4493610598.255831
Tether,USDT,2984340920.4319754
Stellar,XLM,2390159302.735187
Cardano,ADA,2036409852.8184242
Bitcoin SV,BSV,1814546985.6595244
TRON,TRX,1794570079.3395097
Monero,XMR,1430171038.216535
Dash,DASH,1341666297.9948726
IOTA,MIOTA,1058681068.3281459
Tezos,XTZ,1045892450.6618339
Cosmos,ATOM,797338231.9348404
Ethereum Classic,ETC,772229794.8842975
NEO,NEO,734760287.404
NEM,XEM,703312617.6244541
Maker,MKR,654112339.433
Ontology,ONT,643485457.3833367
Zcash,ZEC,465983291.8727264
Chainlink,LINK,461525820.3815
Basic Attention Token,BAT,429299085.71783924
Bitcoin Gold,BTG,414004369.4489971
VeChain,VET,406458223.03556114
Crypto.com Chain,CRO,394478096.64606225
USD Coin,USDC,359689541.47635317
Dogecoin,DOGE,350722840.3118121
